,timestamp,mcap,symbol,date,week,type,time_rank
6,1610236800000,23789558136.59055,tether,2021-01-10,1,Fiat collateralized,1.0
13,1610841600000,24315907744.20519,tether,2021-01-17,2,Fiat collateralized,1.0
20,1611446400000,24747246253.755672,tether,2021-01-24,3,Fiat collateralized,1.0
27,1612051200000,26260606337.887398,tether,2021-01-31,4,Fiat collateralized,1.0
34,1612656000000,28318232688.704037,tether,2021-02-07,5,Fiat collateralized,1.0
41,1613260800000,31539493807.170025,tether,2021-02-14,6,Fiat collateralized,1.0
48,1613865600000,34371952648.25752,tether,2021-02-21,7,Fiat collateralized,1.0
55,1614470400000,35019017695.772484,tether,2021-02-28,8,Fiat collateralized,1.0
62,1615075200000,36505130743.97144,tether,2021-03-07,9,Fiat collateralized,1.0
69,1615680000000,38311238719.403534,tether,2021-03-14,10,Fiat collateralized,1.0
76,1616284800000,39691193064.47697,tether,2021-03-21,11,Fiat collateralized,1.0
83,1616889600000,40515567103.37723,tether,2021-03-28,12,Fiat collateralized,1.0
90,1617494400000,42448788685.50856,tether,2021-04-04,13,Fiat collateralized,1.0
97,1618099200000,44559427154.3627,tether,2021-04-11,14,Fiat collateralized,1.0
104,1618704000000,47980429555.13232,tether,2021-04-18,15,Fiat collateralized,1.0
111,1619308800000,49501156852.96325,tether,2021-04-25,16,Fiat collateralized,1.0
118,1619913600000,51679435029.64995,tether,2021-05-02,17,Fiat collateralized,1.0
125,1620518400000,55472173385.97693,tether,2021-05-09,18,Fiat collateralized,1.0
132,1621123200000,58377161526.95669,tether,2021-05-16,19,Fiat collateralized,1.0
139,1621728000000,59767412543.60663,tether,2021-05-23,20,Fiat collateralized,1.0
146,1622332800000,61416977214.08549,tether,2021-05-30,21,Fiat collateralized,1.0
153,1622937600000,62319635037.66653,tether,2021-06-06,22,Fiat collateralized,1.0
160,1623542400000,63041668654.45564,tether,2021-06-13,23,Fiat collateralized,1.0
167,1624147200000,63022640616.29419,tether,2021-06-20,24,Fiat collateralized,1.0
174,1624752000000,63630251952.029495,tether,2021-06-27,25,Fiat collateralized,1.0
177,1625011200000,62662681797.322105,tether,2021-06-30,26,Fiat collateralized,1.0
184,1610236800000,4756435704.08813,usd-coin,2021-01-10,1,Fiat collateralized,1.0
191,1610841600000,5042504749.588362,usd-coin,2021-01-17,2,Fiat collateralized,1.0
198,1611446400000,5594771753.147792,usd-coin,2021-01-24,3,Fiat collateralized,1.0
205,1612051200000,5835791902.409501,usd-coin,2021-01-31,4,Fiat collateralized,1.0
212,1612656000000,6433917491.041055,usd-coin,2021-02-07,5,Fiat collateralized,1.0
219,1613260800000,7190053397.070977,usd-coin,2021-02-14,6,Fiat collateralized,1.0
226,1613865600000,7733340119.667788,usd-coin,2021-02-21,7,Fiat collateralized,1.0
233,1614470400000,8973026510.162157,usd-coin,2021-02-28,8,Fiat collateralized,1.0
240,1615075200000,9032233273.946411,usd-coin,2021-03-07,9,Fiat collateralized,1.0
247,1615680000000,9441975283.504192,usd-coin,2021-03-14,10,Fiat collateralized,1.0
254,1616284800000,10047460400.69455,usd-coin,2021-03-21,11,Fiat collateralized,1.0
261,1616889600000,10899687714.941328,usd-coin,2021-03-28,12,Fiat collateralized,1.0
268,1617494400000,10814220927.238144,usd-coin,2021-04-04,13,Fiat collateralized,1.0
275,1618099200000,11185465356.753798,usd-coin,2021-04-11,14,Fiat collateralized,1.0
282,1618704000000,12314666876.613438,usd-coin,2021-04-18,15,Fiat collateralized,1.0
289,1619308800000,13527497524.34261,usd-coin,2021-04-25,16,Fiat collateralized,1.0
296,1619913600000,14711500830.430014,usd-coin,2021-05-02,17,Fiat collateralized,1.0
303,1620518400000,15411075861.345764,usd-coin,2021-05-09,18,Fiat collateralized,1.0
310,1621123200000,16506100925.92158,usd-coin,2021-05-16,19,Fiat collateralized,1.0
317,1621728000000,19863377445.61387,usd-coin,2021-05-23,20,Fiat collateralized,1.0
324,1622332800000,22197384368.265133,usd-coin,2021-05-30,21,Fiat collateralized,1.0
331,1622937600000,22938639641.36945,usd-coin,2021-06-06,22,Fiat collateralized,1.0
338,1623542400000,23644275383.88617,usd-coin,2021-06-13,23,Fiat collateralized,1.0
345,1624147200000,24345717744.88539,usd-coin,2021-06-20,24,Fiat collateralized,1.0
352,1624752000000,25845805610.519325,usd-coin,2021-06-27,25,Fiat collateralized,1.0
355,1625011200000,25227093820.818592,usd-coin,2021-06-30,26,Fiat collateralized,1.0
362,1610236800000,1154920715.360031,binance-usd,2021-01-10,1,Fiat collateralized,1.0
369,1610841600000,1139267260.9253752,binance-usd,2021-01-17,2,Fiat collateralized,1.0
376,1611446400000,1185327711.156742,binance-usd,2021-01-24,3,Fiat collateralized,1.0
383,1612051200000,1480151225.4501123,binance-usd,2021-01-31,4,Fiat collateralized,1.0
390,1612656000000,1555564090.6543913,binance-usd,2021-02-07,5,Fiat collateralized,1.0
397,1613260800000,1726022598.1181014,binance-usd,2021-02-14,6,Fiat collateralized,1.0
404,1613865600000,2158446785.023412,binance-usd,2021-02-21,7,Fiat collateralized,1.0
411,1614470400000,2344524967.404699,binance-usd,2021-02-28,8,Fiat collateralized,1.0
418,1615075200000,3234571273.024554,binance-usd,2021-03-07,9,Fiat collateralized,1.0
425,1615680000000,3180309843.7512107,binance-usd,2021-03-14,10,Fiat collateralized,1.0
432,1616284800000,3247247756.3818693,binance-usd,2021-03-21,11,Fiat collateralized,1.0
439,1616889600000,3450746653.224064,binance-usd,2021-03-28,12,Fiat collateralized,1.0
446,1617494400000,3960702205.426729,binance-usd,2021-04-04,13,Fiat collateralized,1.0
453,1618099200000,4940286244.029109,binance-usd,2021-04-11,14,Fiat collateralized,1.0
460,1618704000000,6266189341.394537,binance-usd,2021-04-18,15,Fiat collateralized,1.0
467,1619308800000,6965788897.33724,binance-usd,2021-04-25,16,Fiat collateralized,1.0
474,1619913600000,7591063703.340136,binance-usd,2021-05-02,17,Fiat collateralized,1.0
481,1620518400000,7889021246.857267,binance-usd,2021-05-09,18,Fiat collateralized,1.0
488,1621123200000,7903129358.913668,binance-usd,2021-05-16,19,Fiat collateralized,1.0
495,1621728000000,8556058416.39211,binance-usd,2021-05-23,20,Fiat collateralized,1.0
502,1622332800000,8725923347.71598,binance-usd,2021-05-30,21,Fiat collateralized,1.0
509,1622937600000,9547280746.22331,binance-usd,2021-06-06,22,Fiat collateralized,1.0
516,1623542400000,9608886182.02075,binance-usd,2021-06-13,23,Fiat collateralized,1.0
523,1624147200000,9450555131.30389,binance-usd,2021-06-20,24,Fiat collateralized,1.0
530,1624752000000,9991813551.429531,binance-usd,2021-06-27,25,Fiat collateralized,1.0
533,1625011200000,10127602879.34495,binance-usd,2021-06-30,26,Fiat collateralized,1.0
540,1610236800000,1414793449.8798046,dai,2021-01-10,1,Algo-stable,1.0
547,1610841600000,1369636167.329546,dai,2021-01-17,2,Algo-stable,1.0
554,1611446400000,1462161633.9612231,dai,2021-01-24,3,Algo-stable,1.0
561,1612051200000,1647927265.5241134,dai,2021-01-31,4,Algo-stable,1.0
568,1612656000000,1826607594.8766413,dai,2021-02-07,5,Algo-stable,1.0
575,1613260800000,2070809897.8159215,dai,2021-02-14,6,Algo-stable,1.0
582,1613865600000,2357690695.9594536,dai,2021-02-21,7,Algo-stable,1.0
589,1614470400000,2322934279.657661,dai,2021-02-28,8,Algo-stable,1.0
596,1615075200000,2582625204.3606725,dai,2021-03-07,9,Algo-stable,1.0
603,1615680000000,2746532427.275141,dai,2021-03-14,10,Algo-stable,1.0
610,1616284800000,2872010682.937947,dai,2021-03-21,11,Algo-stable,1.0
617,1616889600000,2976048951.5623884,dai,2021-03-28,12,Algo-stable,1.0
624,1617494400000,3060622618.296052,dai,2021-04-04,13,Algo-stable,1.0
631,1618099200000,3113531052.3369594,dai,2021-04-11,14,Algo-stable,1.0
638,1618704000000,3438662610.477456,dai,2021-04-18,15,Algo-stable,1.0
645,1619308800000,3444318493.603753,dai,2021-04-25,16,Algo-stable,1.0
652,1619913600000,3730505347.695495,dai,2021-05-02,17,Algo-stable,1.0
659,1620518400000,4408086615.273289,dai,2021-05-09,18,Algo-stable,1.0
666,1621123200000,4620179232.772255,dai,2021-05-16,19,Algo-stable,1.0
673,1621728000000,4234575002.529474,dai,2021-05-23,20,Algo-stable,1.0
680,1622332800000,4495174823.405457,dai,2021-05-30,21,Algo-stable,1.0
687,1622937600000,4556323041.059765,dai,2021-06-06,22,Algo-stable,1.0
694,1623542400000,4977173325.70748,dai,2021-06-13,23,Algo-stable,1.0
701,1624147200000,5035611924.716657,dai,2021-06-20,24,Algo-stable,1.0
708,1624752000000,4921970207.584548,dai,2021-06-27,25,Algo-stable,1.0
711,1625011200000,4960778697.887193,dai,2021-06-30,26,Algo-stable,1.0
718,1610236800000,184841885.5772077,terrausd,2021-01-10,1,Algo-stable,1.0
725,1610841600000,195924960.9501921,terrausd,2021-01-17,2,Algo-stable,1.0
732,1611446400000,224052092.07177,terrausd,2021-01-24,3,Algo-stable,1.0
739,1612051200000,268897724.4496784,terrausd,2021-01-31,4,Algo-stable,1.0
746,1612656000000,260286059.3248464,terrausd,2021-02-07,5,Algo-stable,1.0
753,1613260800000,396505375.0777917,terrausd,2021-02-14,6,Algo-stable,1.0
760,1613865600000,538886197.6212016,terrausd,2021-02-21,7,Algo-stable,1.0
767,1614470400000,674569399.9735565,terrausd,2021-02-28,8,Algo-stable,1.0
774,1615075200000,774838573.474066,terrausd,2021-03-07,9,Algo-stable,1.0
781,1615680000000,1006013913.6777875,terrausd,2021-03-14,10,Algo-stable,1.0
788,1616284800000,1303211668.206262,terrausd,2021-03-21,11,Algo-stable,1.0
795,1616889600000,1512990094.512172,terrausd,2021-03-28,12,Algo-stable,1.0
802,1617494400000,1672554747.775079,terrausd,2021-04-04,13,Algo-stable,1.0
809,1618099200000,1759890255.139928,terrausd,2021-04-11,14,Algo-stable,1.0
816,1618704000000,1788020223.466444,terrausd,2021-04-18,15,Algo-stable,1.0
823,1619308800000,1850753698.8411524,terrausd,2021-04-25,16,Algo-stable,1.0
830,1619913600000,1983076788.336593,terrausd,2021-05-02,17,Algo-stable,1.0
837,1620518400000,2039881802.6188552,terrausd,2021-05-09,18,Algo-stable,1.0
844,1621123200000,2071971554.139456,terrausd,2021-05-16,19,Algo-stable,1.0
851,1621728000000,2054588720.9289715,terrausd,2021-05-23,20,Algo-stable,1.0
858,1622332800000,1971208637.6313727,terrausd,2021-05-30,21,Algo-stable,1.0
865,1622937600000,1926330756.1184528,terrausd,2021-06-06,22,Algo-stable,1.0
872,1623542400000,1908764285.5695724,terrausd,2021-06-13,23,Algo-stable,1.0
879,1624147200000,1919250506.2826104,terrausd,2021-06-20,24,Algo-stable,1.0
886,1624752000000,1912205211.2122307,terrausd,2021-06-27,25,Algo-stable,1.0
889,1625011200000,1909731950.659836,terrausd,2021-06-30,26,Algo-stable,1.0
896,1610236800000,307769392.8141616,true-usd,2021-01-10,1,Fiat collateralized,1.0
903,1610841600000,378463839.6417233,true-usd,2021-01-17,2,Fiat collateralized,1.0
910,1611446400000,414523679.03203046,true-usd,2021-01-24,3,Fiat collateralized,1.0
917,1612051200000,398417044.1829588,true-usd,2021-01-31,4,Fiat collateralized,1.0
924,1612656000000,374004610.0016053,true-usd,2021-02-07,5,Fiat collateralized,1.0
931,1613260800000,368977483.1876435,true-usd,2021-02-14,6,Fiat collateralized,1.0
938,1613865600000,311853487.4109061,true-usd,2021-02-21,7,Fiat collateralized,1.0
945,1614470400000,340182552.1496698,true-usd,2021-02-28,8,Fiat collateralized,1.0
952,1615075200000,293818632.1446336,true-usd,2021-03-07,9,Fiat collateralized,1.0
959,1615680000000,298484562.8080818,true-usd,2021-03-14,10,Fiat collateralized,1.0
966,1616284800000,299858664.2867342,true-usd,2021-03-21,11,Fiat collateralized,1.0
973,1616889600000,328222186.0215645,true-usd,2021-03-28,12,Fiat collateralized,1.0
980,1617494400000,317033380.4238861,true-usd,2021-04-04,13,Fiat collateralized,1.0
987,1618099200000,288892416.1826875,true-usd,2021-04-11,14,Fiat collateralized,1.0
994,1618704000000,322408572.69315004,true-usd,2021-04-18,15,Fiat collateralized,1.0
1001,1619308800000,304317831.4866706,true-usd,2021-04-25,16,Fiat collateralized,1.0
1008,1619913600000,623886246.9939212,true-usd,2021-05-02,17,Fiat collateralized,1.0
1015,1620518400000,1029616943.6975904,true-usd,2021-05-09,18,Fiat collateralized,1.0
1022,1621123200000,1179846812.09277,true-usd,2021-05-16,19,Fiat collateralized,1.0
1029,1621728000000,1237847072.2281775,true-usd,2021-05-23,20,Fiat collateralized,1.0
1036,1622332800000,1288686824.3114038,true-usd,2021-05-30,21,Fiat collateralized,1.0
1043,1622937600000,1460220784.7378447,true-usd,2021-06-06,22,Fiat collateralized,1.0
1050,1623542400000,1441872116.981703,true-usd,2021-06-13,23,Fiat collateralized,1.0
1057,1624147200000,1425361279.3784034,true-usd,2021-06-20,24,Fiat collateralized,1.0
1064,1624752000000,1434886812.4661798,true-usd,2021-06-27,25,Fiat collateralized,1.0
1067,1625011200000,1496905704.2703676,true-usd,2021-06-30,26,Fiat collateralized,1.0
1074,1610236800000,490993779.5483811,paxos-standard,2021-01-10,1,Fiat collateralized,1.0
1081,1610841600000,464201129.24705184,paxos-standard,2021-01-17,2,Fiat collateralized,1.0
1088,1611446400000,572703539.8056988,paxos-standard,2021-01-24,3,Fiat collateralized,1.0
1095,1612051200000,649642244.1378124,paxos-standard,2021-01-31,4,Fiat collateralized,1.0
1102,1612656000000,671000699.504712,paxos-standard,2021-02-07,5,Fiat collateralized,1.0
1109,1613260800000,713398301.6692861,paxos-standard,2021-02-14,6,Fiat collateralized,1.0
1116,1613865600000,737909956.2101383,paxos-standard,2021-02-21,7,Fiat collateralized,1.0
1123,1614470400000,883331281.6267767,paxos-standard,2021-02-28,8,Fiat collateralized,1.0
1130,1615075200000,869428940.7417351,paxos-standard,2021-03-07,9,Fiat collateralized,1.0
1137,1615680000000,733254663.8411223,paxos-standard,2021-03-14,10,Fiat collateralized,1.0
1144,1616284800000,800242645.9836609,paxos-standard,2021-03-21,11,Fiat collateralized,1.0
1151,1616889600000,888970914.497208,paxos-standard,2021-03-28,12,Fiat collateralized,1.0
1158,1617494400000,982360327.6618588,paxos-standard,2021-04-04,13,Fiat collateralized,1.0
1165,1618099200000,911007592.868326,paxos-standard,2021-04-11,14,Fiat collateralized,1.0
1172,1618704000000,1045640873.6464463,paxos-standard,2021-04-18,15,Fiat collateralized,1.0
1179,1619308800000,1117688959.8257449,paxos-standard,2021-04-25,16,Fiat collateralized,1.0
1186,1619913600000,1194178062.6228597,paxos-standard,2021-05-02,17,Fiat collateralized,1.0
1193,1620518400000,1173752073.4613323,paxos-standard,2021-05-09,18,Fiat collateralized,1.0
